;Test;DeltaOz-O1O2;ThetaOz-O1O2;AlphaOz-O1O2;BetaOz-O1O2;DeltaOz-PO;ThetaOz-PO;AlphaOz-PO;BetaOz-PO;DeltaOz-POL;ThetaOz-POL;AlphaOz-POL;BetaOz-POL;DeltaOz-POR;ThetaOz-POR;AlphaOz-POR;BetaOz-POR;DeltaO1O2-PO;ThetaO1O2-PO;AlphaO1O2-PO;BetaO1O2-PO;DeltaO1O2-POL;ThetaO1O2-POL;AlphaO1O2-POL;BetaO1O2-POL;DeltaO1O2-POR;ThetaO1O2-POR;AlphaO1O2-POR;BetaO1O2-POR;DeltaPO-POL;ThetaPO-POL;AlphaPO-POL;BetaPO-POL;DeltaPO-POR;ThetaPO-POR;AlphaPO-POR;BetaPO-POR;DeltaPOL-POR;ThetaPOL-POR;AlphaPOL-POR;BetaPOL-POR;Delta;Theta;Alpha;Beta
S3;Reposo_EEG _AO;23.69467526;29.63182048;39.15446041;132.2145235;10.8081406;18.2138763;27.87688316;101.7784017;20.63360357;27.0948179;33.61571811;117.0255697;21.13716517;28.87141358;34.96242521;118.3066863;23.06945989;29.3861942;40.79380424;147.6300032;34.56006527;34.09306798;42.26517466;144.5985513;34.26359774;33.81897311;38.639338;134.9104586;26.38197466;32.5004848;44.37015172;146.051162;25.41113091;30.52186786;40.36244918;139.9383021;33.00635333;32.23825555;33.94631243;107.8008636;25.29661664;29.63707718;37.59867171;129.0254522
S5;Reposo_EEG _AO;17.56332762;25.64578827;43.60733938;139.9324415;13.25828892;14.34766066;32.1013539;106.3643776;16.32718867;22.93205832;39.33164519;120.220011;16.61161143;22.08458777;37.64271561;111.3123613;34.87616478;28.58212577;43.07107393;142.9086819;36.3140802;30.32959311;43.72176665;130.1509242;36.55945086;30.62259264;43.08121669;130.6448204;36.34368847;29.53218487;41.42564287;131.8189223;36.43048939;30.52275581;42.88401979;135.2246586;35.38234081;24.94604995;35.20499861;89.38610298;27.96666312;25.95453972;40.20717726;123.7963302
S6;Reposo_EEG _AO;25.40484374;29.97990069;44.33833357;132.3773915;13.19259297;16.40654217;38.11793023;94.37898524;16.99937032;26.08355486;40.92977701;102.7056462;23.98844877;25.95431395;42.26045448;112.8031068;25.33264861;29.5840293;46.18233322;144.779974;28.92722343;34.51864192;45.26737285;135.3138552;33.47559446;34.74469029;45.82980603;140.3223476;30.78702744;31.63445292;46.57971206;151.6511236;27.3888479;31.04372762;43.57237889;134.3889601;25.57626306;29.30347075;39.30548542;106.7601598;25.10728607;28.92533245;43.23835838;125.548155
S10;Reposo_EEG _AO;26.31624508;28.85982902;42.81216703;135.3326754;11.51814885;17.56377773;33.94846919;108.6380386;22.13420727;24.50298705;34.70486707;124.454031;24.40104947;29.51246152;38.47355938;123.6053553;28.58419198;32.2660413;46.4816522;160.3450284;33.80367013;35.1990004;42.51924234;152.9081904;38.1990946;37.36931024;44.65371397;150.9100867;28.62485485;33.11106232;42.89173012;150.6567818;28.89761391;30.0649101;42.20399764;143.77593;30.85388562;31.07810708;33.47773368;116.7505259;27.33329618;29.95274868;40.21671326;136.7376644
S14;Reposo_EEG _AO;27.87553022;24.85037107;39.75460275;113.571508;16.14271854;13.27076158;27.46860225;86.63774956;28.17636462;20.80354864;32.15891787;102.2321833;28.40413913;24.4302421;36.99374891;101.1536229;22.8973928;26.71466613;40.85335707;148.0105559;31.35105635;32.22249325;42.29723508;133.8246576;28.65270828;32.43729098;40.53634111;136.9688751;28.75380952;33.05742692;43.32854063;139.2040683;26.10782018;30.44297321;38.69593441;135.6832649;28.6196818;30.49714257;33.04338242;97.62489445;26.69812214;26.87269165;37.51306625;119.491138
S15;Reposo_EEG _AO;25.87400029;28.36541108;43.18219808;141.8774484;11.78261419;12.04991234;28.08505871;102.1557258;19.4093015;24.13289246;36.17389388;123.7001094;19.79364101;21.23111677;32.18126203;107.8492429;27.33292799;26.42099942;41.37205273;147.4919317;34.37650682;34.47283461;44.5769347;149.708976;31.95145014;33.16550303;40.65005847;128.8249038;30.89960934;28.29865727;42.20488935;143.0717213;30.24493796;30.55636483;42.33543223;134.7938469;28.56533976;27.6354131;34.44229441;98.05592407;26.0230329;26.63291049;38.52040746;127.752983
S16;Reposo_EEG _AO;27.57290487;27.60912033;37.51818857;137.0557952;12.13729795;16.89704719;25.06187942;106.0378679;19.14257407;26.09593389;32.539643;127.0543783;27.64812498;27.14283226;34.52626125;110.6219852;20.2118446;30.05988922;40.83913027;151.3035121;25.81741901;34.90531702;42.13304206;153.0135823;29.60517633;33.58020747;42.4860703;138.638787;30.89095862;32.90212187;42.48612858;149.4485486;19.84050979;29.52383093;40.40688419;149.148151;23.21110977;31.17187128;36.65568003;122.3923368;23.607792;28.98881715;37.46529077;134.4714944
S21;Reposo_EEG _AO;23.60005334;30.02202959;38.16537456;101.1294901;8.635842594;16.37641435;23.95924717;62.14637772;21.44424108;25.31088055;28.21625177;87.07484079;20.53136499;26.65869503;35.25971961;92.98501133;21.16920765;29.39633509;40.38884886;142.3935062;36.21040203;36.1075644;40.44464634;150.8945767;29.25201619;34.00920585;42.15359421;150.9010988;24.77124787;33.8174505;43.03180851;145.1678533;22.16291064;30.63918986;36.77699695;138.4955493;30.79094052;31.77065038;30.18266203;129.0766048;23.85682269;29.41084156;35.857915;120.0264909
S22;Reposo_EEG _AO;25.21818322;30.44680718;43.17154978;151.2265859;13.06235986;17.62438914;33.04681704;112.917527;21.95884262;27.57134852;38.86206527;143.6896285;22.1069091;27.36333802;37.55967919;145.2161397;25.23577245;30.60714509;43.9171039;146.1367691;36.08933798;36.45269901;45.32344698;159.3074733;36.08930884;34.39905725;43.39249123;154.496068;29.81619506;33.90448885;45.01231783;148.7125475;27.53740245;32.18851958;44.51621799;142.5738181;34.05036659;33.41848823;39.04412618;143.3567362;27.11646782;30.39762809;41.38458154;144.7633293
S23;Reposo_EEG _AO;26.0936247;32.64141117;44.03124125;147.3779315;13.27963563;19.21345958;35.68123748;123.0082859;26.02806658;28.65650273;39.60644859;125.4115024;25.08004373;30.1112464;41.66395946;139.4954405;27.36015454;30.1648878;45.74621833;156.095372;35.31612973;36.79016323;45.65192969;141.3499427;36.19713247;36.87384593;44.67850067;153.2299999;29.29903028;32.98822352;45.82246357;148.3269409;29.62969497;32.40793767;43.476854;147.082356;33.68019144;34.57580214;38.88358277;117.3578086;28.19637041;31.44234802;42.52424358;139.873558
