;Test;DeltaOz-O1O2;ThetaOz-O1O2;AlphaOz-O1O2;BetaOz-O1O2;DeltaOz-PO;ThetaOz-PO;AlphaOz-PO;BetaOz-PO;DeltaOz-POL;ThetaOz-POL;AlphaOz-POL;BetaOz-POL;DeltaOz-POR;ThetaOz-POR;AlphaOz-POR;BetaOz-POR;DeltaO1O2-PO;ThetaO1O2-PO;AlphaO1O2-PO;BetaO1O2-PO;DeltaO1O2-POL;ThetaO1O2-POL;AlphaO1O2-POL;BetaO1O2-POL;DeltaO1O2-POR;ThetaO1O2-POR;AlphaO1O2-POR;BetaO1O2-POR;DeltaPO-POL;ThetaPO-POL;AlphaPO-POL;BetaPO-POL;DeltaPO-POR;ThetaPO-POR;AlphaPO-POR;BetaPO-POR;DeltaPOL-POR;ThetaPOL-POR;AlphaPOL-POR;BetaPOL-POR;SCORE_1;SCORE_2;SCORE_3;SCORE_4;SCORE_5;SCORE_6;SCORE_7;SCORE_8
S2;Reposo_EEG _AO;30.91472765;31.70765584;40.06805772;142.8997388;16.1808515;15.63345746;28.69363275;111.8747044;27.66043858;31.21534447;38.5820739;139.4249705;24.84371506;28.31268739;36.25750854;121.1077142;29.17006776;29.04721353;44.63976762;155.5359406;36.74352649;37.84252507;47.36102361;156.1277459;34.46924444;37.02772801;47.21723562;151.1700149;30.81446254;28.65378385;44.657761;152.0541875;31.42921347;30.09554289;43.84099543;143.1721185;30.27255809;34.61798845;42.72843646;125.7614632;11.9282;7.52169;4.09422;0.687948;7.83188;-3.70937;6.16332;5.81298
S3;Reposo_EEG _AO;23.69467526;29.63182048;39.15446041;132.2145235;10.8081406;18.2138763;27.87688316;101.7784017;20.63360357;27.0948179;33.61571811;117.0255697;21.13716517;28.87141358;34.96242521;118.3066863;23.06945989;29.3861942;40.79380424;147.6300032;34.56006527;34.09306798;42.26517466;144.5985513;34.26359774;33.81897311;38.639338;134.9104586;26.38197466;32.5004848;44.37015172;146.051162;25.41113091;30.52186786;40.36244918;139.9383021;33.00635333;32.23825555;33.94631243;107.8008636;3.37769;0.760177;-5.64807;-4.38012;1.05311;-3.23666;-0.602653;0.789836
S5;Reposo_EEG _AO;17.56332762;25.64578827;43.60733938;139.9324415;13.25828892;14.34766066;32.1013539;106.3643776;16.32718867;22.93205832;39.33164519;120.220011;16.61161143;22.08458777;37.64271561;111.3123613;34.87616478;28.58212577;43.07107393;142.9086819;36.3140802;30.32959311;43.72176665;130.1509242;36.55945086;30.62259264;43.08121669;130.6448204;36.34368847;29.53218487;41.42564287;131.8189223;36.43048939;30.52275581;42.88401979;135.2246586;35.38234081;24.94604995;35.20499861;89.38610298;-5.9501;-4.29859;1.71917;3.41851;1.23548;-2.07607;-4.17212;-2.17639
S6;Reposo_EEG _AO;25.40484374;29.97990069;44.33833357;132.3773915;13.19259297;16.40654217;38.11793023;94.37898524;16.99937032;26.08355486;40.92977701;102.7056462;23.98844877;25.95431395;42.26045448;112.8031068;25.33264861;29.5840293;46.18233322;144.779974;28.92722343;34.51864192;45.26737285;135.3138552;33.47559446;34.74469029;45.82980603;140.3223476;30.78702744;31.63445292;46.57971206;151.6511236;27.3888479;31.04372762;43.57237889;134.3889601;25.57626306;29.30347075;39.30548542;106.7601598;5.85847;2.53062;5.47723;-3.6352;1.5203;-4.70087;-2.06019;-2.52344
S7;Reposo_EEG _AO;29.94962819;30.39691348;39.73495235;132.2692024;20.30953243;17.47139959;31.91158651;108.1928478;26.93577076;27.7799675;35.97064476;120.9365612;27.38066423;27.90950455;38.96855025;124.2495643;31.57357938;30.28574265;45.26881727;155.8434485;35.84870306;36.13982933;45.43364605;153.5279851;32.70258131;34.02386077;43.31388969;143.166224;33.53463357;32.76401215;44.62660861;150.9799105;33.85763585;30.6673009;41.4410441;143.1934101;31.04854783;31.95981533;36.36886403;117.8781328;7.37531;6.43143;2.17302;2.15916;3.68417;-2.02393;3.49352;1.96441
S10;Reposo_EEG _AO;26.31624508;28.85982902;42.81216703;135.3326754;11.51814885;17.56377773;33.94846919;108.6380386;22.13420727;24.50298705;34.70486707;124.454031;24.40104947;29.51246152;38.47355938;123.6053553;28.58419198;32.2660413;46.4816522;160.3450284;33.80367013;35.1990004;42.51924234;152.9081904;38.1990946;37.36931024;44.65371397;150.9100867;28.62485485;33.11106232;42.89173012;150.6567818;28.89761391;30.0649101;42.20399764;143.77593;30.85388562;31.07810708;33.47773368;116.7505259;7.80485;3.24747;1.18171;-0.242212;4.58598;-2.84118;5.01179;1.30237
S13;Reposo_EEG _AO;26.74849383;27.23532888;38.62342752;134.840914;17.37067942;15.45928022;23.62200035;91.38633963;24.86715994;22.04468443;31.76802778;116.9176113;24.55866154;26.28015379;32.81072544;124.6082525;33.71739519;30.79385084;41.432908;143.0229021;36.62035201;35.62558599;42.83064061;147.0946965;37.30924823;35.01190207;42.03851949;150.8019258;34.79313923;32.23080543;40.68348895;142.4914782;33.82248499;28.93078816;39.90248206;137.6080975;33.7205596;28.57752589;32.85994732;123.5712481;1.78187;0.530272;-5.87711;3.84136;0.315967;-2.23573;0.391359;1.99698
S14;Reposo_EEG _AO;27.87553022;24.85037107;39.75460275;113.571508;16.14271854;13.27076158;27.46860225;86.63774956;28.17636462;20.80354864;32.15891787;102.2321833;28.40413913;24.4302421;36.99374891;101.1536229;22.8973928;26.71466613;40.85335707;148.0105559;31.35105635;32.22249325;42.29723508;133.8246576;28.65270828;32.43729098;40.53634111;136.9688751;28.75380952;33.05742692;43.32854063;139.2040683;26.10782018;30.44297321;38.69593441;135.6832649;28.6196818;30.49714257;33.04338242;97.62489445;-1.51361;-1.07678;-5.94686;-5.13612;-4.98004;-5.18701;-3.37721;-3.12289
S15;Reposo_EEG _AO;25.87400029;28.36541108;43.18219808;141.8774484;11.78261419;12.04991234;28.08505871;102.1557258;19.4093015;24.13289246;36.17389388;123.7001094;19.79364101;21.23111677;32.18126203;107.8492429;27.33292799;26.42099942;41.37205273;147.4919317;34.37650682;34.47283461;44.5769347;149.708976;31.95145014;33.16550303;40.65005847;128.8249038;30.89960934;28.29865727;42.20488935;143.0717213;30.24493796;30.55636483;42.33543223;134.7938469;28.56533976;27.6354131;34.44229441;98.05592407;-2.27041;-2.50257;-2.32643;-2.56031;1.75046;-4.80107;-1.32583;0.661428
S16;Reposo_EEG _AO;27.57290487;27.60912033;37.51818857;137.0557952;12.13729795;16.89704719;25.06187942;106.0378679;19.14257407;26.09593389;32.539643;127.0543783;27.64812498;27.14283226;34.52626125;110.6219852;20.2118446;30.05988922;40.83913027;151.3035121;25.81741901;34.90531702;42.13304206;153.0135823;29.60517633;33.58020747;42.4860703;138.638787;30.89095862;32.90212187;42.48612858;149.4485486;19.84050979;29.52383093;40.40688419;149.148151;23.21110977;31.17187128;36.65568003;122.3923368;6.54898;0.555726;-5.64598;-7.48335;1.96299;-4.40286;2.80094;-1.4131
S18;Reposo_EEG _AO;29.34807125;32.8255227;41.94390311;127.107107;17.76957884;17.54718224;28.66756465;82.31741869;27.17340996;29.28933274;36.5386899;114.3693074;27.07532143;29.31858109;33.23392357;112.1223672;28.96592574;28.86305522;42.45323596;141.6732338;35.54125952;36.40479912;44.14712259;150.5770834;33.70033622;34.76456599;39.38536783;141.6199522;31.61771563;30.4459986;41.20491287;139.3619256;29.57371615;29.13091036;39.36734825;134.995986;30.17370384;29.8517592;30.19163934;116.9509378;0.558488;5.29054;-4.26148;-0.773443;-0.102128;-3.37032;-1.18004;1.99924
S19;Reposo_EEG _AO;23.27440388;31.18817976;42.95872787;137.9101357;13.62469858;17.29906759;32.00797941;91.83791775;19.877329;25.39829385;35.73050502;108.1305832;19.46712566;23.27345227;32.51203631;106.0264513;31.74653272;31.12677576;44.07961789;143.5916531;34.46605388;33.50756626;41.0495321;129.0600526;34.65451324;31.54993011;37.9062559;130.4842742;31.59589573;31.05925096;39.37032634;130.0887452;33.65814464;30.72531658;39.33155611;124.9133146;29.87508008;22.78871388;24.93513769;77.02229714;-12.2268;-2.03561;-3.8341;-0.0252627;-2.57218;-0.868638;-6.25847;-2.1204
S20;Reposo_EEG _AO;22.23508971;21.41269929;31.51937558;116.8702854;11.49561189;13.52788762;28.45800227;94.71675917;22.27490133;21.28806262;30.52637931;102.9432222;26.34639642;26.97072062;35.21027106;116.2394781;24.5784114;28.29203623;44.99315625;152.3783378;34.089114;35.94866476;44.38906992;149.0550558;33.53939415;33.94610288;43.03430517;150.7518382;29.93644383;31.4121461;43.44032519;151.4322413;26.13217269;27.35398887;42.44021556;145.3826351;34.49675355;32.30435321;35.37002688;123.1468588;6.43607;-3.48998;-3.89902;-2.37315;-2.21174;-5.05773;3.36844;1.07249
S21;Reposo_EEG _AO;23.60005334;30.02202959;38.16537456;101.1294901;8.635842594;16.37641435;23.95924717;62.14637772;21.44424108;25.31088055;28.21625177;87.07484079;20.53136499;26.65869503;35.25971961;92.98501133;21.16920765;29.39633509;40.38884886;142.3935062;36.21040203;36.1075644;40.44464634;150.8945767;29.25201619;34.00920585;42.15359421;150.9010988;24.77124787;33.8174505;43.03180851;145.1678533;22.16291064;30.63918986;36.77699695;138.4955493;30.79094052;31.77065038;30.18266203;129.0766048;2.48617;-2.69614;-12.3169;-7.68475;-8.1106;-4.09253;-1.82752;0.744183
